16128;ВТБ-002Dао
32863;ВТБ-БРИК
32340;ВТБИндММВБ
161233;ВТБИнМсБир
67765;ВТБфонд ДМ
32339;ВТБФондАкц
32342;ВТБФондКаз
32341;ВТБФондСб
264;ВТГК
28576;ВТГК-002D
28577;ВТГК-003D
28578;ВТГК-004D
28579;ВТГК-005D
28580;ВТГК-006D
28581;ВТГК-007D
265;ВТГК-008D
266;ВТГК-009D
267;ВТГК-010D
109824;ВТОРРЕСао
269;ВХЗ-ао
48800;ВыбСудЗ ао
48801;ВыбСудЗ ап
29037;ВысокиеТех
51883;ВЭБлизинг1
270;ВЭК 01 ао
28411;ВятЭлТпК
28412;ВятЭлТпК-п
42052;ГАЗ ао
42053;ГАЗ ап
27740;ГАЗ-ао
42056;ГАЗКОН-02D
40089;ГАЗКОН-ао
27798;ГАЗ-п
42605;ГазпрМНПЗ
61131;ГазпРнД ао
346;Газпрнефть
330;ГАЗПРОМ ао
40087;ГАЗ-сервис
42057;ГАЗсервис2
42663;ГАЗ-Тек 1D
42662;ГАЗ-Тек ао
38822;Галс-Девел
352;ГдОГК
353;ГдОГК-003D
354;ГдОГК-004D
355;ГдОГК-005D
356;ГдОГК-006D
357;ГдОГК-007D
358;ГдОГК-008D
359;ГдОГК-009D
360;ГдОГК-010D
361;ГдОГК-011D
362;ГдОГК-012D
363;ГдОГК-013D
364;ГдОГК-014D
365;ГдОГК-015D
366;ГдОГК-016D
367;ГдОГК-017D
368;ГдОГК-018D
369;ГдОГК-019D
370;ГдОГК-020D
371;ГдОГК-021D
372;ГдОГК-022D
373;ГдОГК-023D
374;ГдОГК-024D
375;ГдОГК-025D
376;ГдОГК-026D
377;ГдОГК-027D
109823;ГЕОТЕК ао
46551;Гипропрос
89096;ГИТ ао
51850;ГлТоргПрод
27830;ГМКННик1ао
27831;ГМКННик3ао
27832;ГМКННик4ао
27833;ГМКННик5ао
336;ГМКНорНик
15428;ГорФондНед
51856;ГостинСеть
34618;ГПНХСал ао
28423;ГРЭС-24 ао
138493;ГТМ ао
342;ГУМ
27834;ГУМК-ао-1
27835;ГУМК-ап-1
395;ДагГК ао
396;ДагСб ао
397;ДагЭн-ао
399;ДальВостБ
400;ДальВостБп
27915;ДальСвз3ао
27916;ДальСвз3ап
27917;ДальСвз4ао
27918;ДальСвз4ап
27919;ДальСвз5ао
27920;ДальСвз5ап
27921;ДальСвз6ао
27922;ДальСвз6ап
27923;ДальСвз7ао
27924;ДальСвз7ап
27925;ДальСвз8ао
27926;ДальСвз8ап
403;Дальсвяз-п
404;Дальсвязь
27766;Дальэнерго
27776;Дальэнер-п
27795;ДалЭлсв-ао
27796;ДалЭлсв-ап
31351;Данильч ап
383;ДВМП ао
51849;Деликатесы
57307;ДеловЦентр
121191;ДетскийМир
29046;ДИК ао
44517;ДИКСИ ао
388;ДИКСИ Гр.
9120;ДИКСИ Гр.2
38756;ДИКСИ Гр3D
17798;ДлгИнвест
157749;ДОМ.РФ
150226;ДоминионТр
415;Дорогбж ао
416;Дорогбж ап
391;ДОХОДММВБ
392;ДОХОДФА-ип
393;ДОХОДФС-ип
394;ДЭК ао
96032;Европлан
116056;Европлан2D
133825;ЕвроЭлтех
90176;Еврплан ао
15168;ЕрмакИнв
82036;ЕТС ао
424;ЕФинПроект
66357;Живой Оф
438;ЖилНедв пф
9249;ЖилнедвПИФ
448;ЗагорГАЭС
57591;Запад ао04
42055;ЗВЕЗДА ао
79206;ЗемлРодКр
82986;ЗемРесурсы
41824;ЗИЛ ао
27885;ЗИЛ-ао-2
27886;ЗИЛ-ап-2
41825;ЗиО-П ао
36443;ЗИРЕРА ао
443;ЗМЗ-ао
444;ЗМЗ-ап
29038;ЗолЯкутии
125218;ЗПИФ 111
55259;ЗПИФ МФОНД
17765;ЗПИФ Рент2
17766;ЗПИФ Рент3
79287;ЗПИФ Страт
445;ЗПИФ ФинКВ
15166;ЗПИФАтлант
50968;ЗПИФБиоТех
446;ЗПИФБрикПИ
157781;ЗПИФДОМ.РФ
51921;ЗПИФИнвДев
43788;ЗПИФКлевИн
53333;ЗПИФКлНедв
46805;ЗПИФКрасн
51913;ЗПИФКрРес
44733;ЗПИФМалах
51942;ЗПИФНеруд
53203;ЗПИФНСКА
51943;ЗПИФТрКред
47065;ЗПИФЯмСлоб
28392;ИванГК
28393;ИванГК-п
464;ИванЭнСб
465;ИванЭнСб-п
27839;Ивтелек-ао
27840;Ивтелек-ап
466;Ивэнерго
467;Ивэнерго-п
41489;ИвЭнСб ао
41490;ИвЭнСб ап
65852;ИДЖАТ
27744;Ижзавод-ао
27783;Ижзавод-ап
41488;Ижсталь ап
41486;Ижсталь2ао
41487;Ижсталь3ао
470;Икар ао
65447;ИКРУСС-ИНВ
471;Илецксоль
9976;ИмплсНедв
79256;Инв-Девел
473;ИнвК-ЗФИп
475;ИнвК-фа пф
474;ИнвК-ФНедв
477;ИнгосРег-Н
143108;ИНГРАД ао
478;ИндRUXCbon
479;ИндММВБ ФМ
51885;ИнновацПр
17810;ИнтерАкцИП
488;ИнтерИндИП
489;ИнтерРАО
490;ИнтерРАО1D
37332;ИнтерРАО2D
491;ИнтерРАО3D
492;ИнтерРАО4D
49273;ИнтерРАО5D
49274;ИнтерРАО6D
50956;ИнтерРАО7D
50957;ИнтерРАО8D
17107;ИнтерРАОао
16370;ИнтерТрейд
494;ИнтрастФА
495;ИнтрастФПИ
496;ИнтрастФСИ
497;Интурал2ао
499;ИнфФ Акций
15662;ИнфФ Обл
51887;ИПФ-АГРОПК
460;ИРКУТ-3
27746;ИркЭлСв-ао
27751;ИркЭлСв-п
506;ИркЭнерго
461;ИСКЧ ао
69080;ИСУ ГК-2
83024;ИСУ ГК-3
95819;ИСУ ЕФГ-1
73034;ИСУ ЕФГ-2
87946;ИСУ ЕФГ-3
85762;ИСУ КАП
54955;ИСУ-1
109748;ИСУ100 ВЭБ
87981;ИСУ100ПлЭс
67182;ИСУ-11000
55017;ИСУ-2
64989;ИСУ-2 ГФТ
149735;ИСУ-2МнКон
61245;ИСУ-3
70948;ИСУ-3 ГФТ
69783;ИСУ-4
70947;ИСУ-4 ГФТ
149736;ИСУ-4МнКон
64409;ИСУ-5
65854;ИСУ-6
69860;ИСУ-9000
64990;ИСУ-АФ
74299;ИСУБерЛуны
73033;ИСУБерМеч
74300;ИСУБерМоря
69435;ИСУ-ВыСтд
85366;ИСУ-ДохИп2
65665;ИСУ-КП
69861;ИСУ-МрегИп
68543;ИСУ-ПН
69884;ИТ-сегмент
462;ИФПерспФЖН
545;КазанскВЗ
27841;КазГТС-ао
27913;КазГТС-ао4
